customer_unique_id,F_star,R,M,S,hard_cluster,n_concepts,n_bands_satisfying_alpha
2811fa922f83f29c9aa74f58404bc7db,0.2346573590279972,127,78.15,5.0,F1,64,4
212fbbecb34898b9c618a7b1d1b843d0,0.2346573590279972,118,76.29,5.0,F1,64,4
ea0a77801d0fabb7ee9b7f92e8169eeb,0.2346573590279972,105,82.43,5.0,F1,64,4
020b824fa9ea4049aed3171900d41e86,0.2549306144334055,120,75.22,5.0,S5,64,4
3dedfe2989392f44335fef7f7075eb56,0.2549306144334055,113,76.56,5.0,S5,64,4
8c164db0690b983e7ab343d1cacfdb06,0.2549306144334055,104,80.26,5.0,S5,64,4
d9a46e8ca222c7571667818ee42979e9,0.2549306144334055,106,76.92,4.0,S4,36,4
891618c12f88105f45643bcefe8e917f,0.2549306144334055,123,72.78,4.0,S4,36,4
c72168afea58581ce42421c06d05f838,0.2549306144334055,138,77.66,4.0,S4,36,4
cbb8cc3e9465a2b7078c72b2cd81536c,0.2549306144334055,131,41.32,4.0,M1,32,4
7346abb69e5a8e6df3525914dd961213,0.2549306144334055,112,47.56,4.0,M1,32,4
0b949d3ee12ac9f871346d814ff57080,0.2549306144334055,114,33.22,4.0,M1,32,4
8cef958341c4de7f7c982a729d3992d7,0.2549306144334055,52,75.38,4.0,R5,28,4
e611d623d4c8958222cc3236e71eeb90,0.2549306144334055,35,78.96,4.0,R5,28,4
95f4b915c12f5b61a638f3928d23a89c,0.2549306144334055,52,80.34,4.0,R5,28,4
705075cde7c343e87264e9540ee31066,0.2549306144334055,182,56.54,4.0,R4,26,4
133f1d0455e22120ea8d26d3af3dd3d5,0.2693147180559945,181,72.8,1.0,R4,23,3
f53f4854a86a267104496432c29710e2,0.2549306144334055,289,59.2,4.0,R3,22,4
cf80a317973ae2e554da97adad40123f,0.2549306144334055,182,54.7,1.0,R4,21,3
c1d4e6f1d2d9aa0a947b6b0c42b5597d,0.2549306144334055,287,72.18,1.0,R3,21,3
ea0c8b3d338bf8e3488d10daf4d6f34e,0.2549306144334055,289,113.56,4.0,R3,20,4
9e5f250dedea7580e5bd8f1a3ffe013f,0.2549306144334055,138,111.66,1.0,M2,19,3
770b0fad89aa88629804fb744089a569,0.2549306144334055,113,111.88,3.0,M2,19,3
252a5a7461ae95e4af38d293cbc4080e,0.2549306144334055,217,111.7,1.0,M2,17,3
d3fc34ba9517a510bc470a95c0207cbc,0.2549306144334055,421,217.82,4.0,R2,16,4
505e798a7dfd411c2735e3d56aa1f684,0.2549306144334055,106,178.72,1.0,M3,15,3
aeb6e243a46bb92926715a3de3a41f4c,0.2693147180559945,118,178.21,3.0,M3,15,3
ae85516c85361785d9151930418af0cb,0.2549306144334055,107,179.68,3.0,M3,15,3
039ddbe14ea350d861b9422a9ca43b0b,0.2549306144334055,421,290.3,4.0,R2,14,4
91a7d936d79504638afeba42ccfb4449,0.2549306144334055,421,79.64,2.0,R2,13,3
b1717e0d57454ea7b24b1da9e7c2e4f5,0.2549306144334055,135,279.5,1.0,M4,13,3
a73031fcd093e2e6f46dc11bb2760832,0.2549306144334055,126,277.48,1.0,M4,13,3
311095a4ee35aef6817083718f97e1c4,0.2549306144334055,128,282.95,2.0,M4,13,3
55b9662183a72ec77b8f467ff8d42fa3,0.2549306144334055,691,81.9,2.0,R1,11,3
a08abf6ef3509b1e3b0e96bea4dbe96c,0.2549306144334055,538,74.2,1.0,R1,11,3
96a9bee7dae5f1a11d38f96865bd7924,0.2549306144334055,570,79.02,1.0,R1,11,3
