supp_factor,theta_factor,supp_thr,theta_thr,surviving_concepts
0.9,0.9,0.1053419530452535,0.8383561643835616,139
0.9,1.0,0.1053419530452535,0.9315068493150684,139
0.9,1.1,0.1053419530452535,1.0,0
1.0,0.9,0.1170466144947261,0.8383561643835616,115
1.0,1.0,0.1170466144947261,0.9315068493150684,115
1.0,1.1,0.1170466144947261,1.0,0
1.1,0.9,0.12875127594419872,0.8383561643835616,97
1.1,1.0,0.12875127594419872,0.9315068493150684,97
1.1,1.1,0.12875127594419872,1.0,0
