intent,intent_size,dimensions,n_customers,support,stability_proxy
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3 & S5@0.3 & S5@0.5 & S5@0.7,7,FRS,18714,0.2004563128635239,0.9994656406968045
S4@0.3 & S4@0.5,2,S,18707,0.20038133187655988,0.9920350670871866
S4@0.3 & S4@0.5 & S4@0.7,3,S,18219,0.19515408592821107,0.9961029694275207
F1@0.3 & F1@0.5 & F1@0.7 & S4@0.3 & S4@0.5,5,FS,17860,0.19130863245391347,0.9982642777155655
F1@0.3 & F1@0.5 & F1@0.7 & S4@0.3 & S4@0.5 & S4@0.7,6,FS,17853,0.19123365146694946,0.9985996751246289
M1@0.3 & M1@0.5 & M1@0.7 & S5@0.3 & S5@0.5,5,MS,17444,0.18685261951433743,0.9993694106856226
M1@0.3 & M1@0.5 & M1@0.7 & S5@0.3 & S5@0.5 & S5@0.7,6,MS,17428,0.18668123440127682,0.9993688317649759
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7 & S5@0.3 & S5@0.5,8,FMS,17384,0.18620992534036013,0.9997123791992637
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7 & S5@0.3 & S5@0.5 & S5@0.7,9,FMS,17381,0.18617779063166126,0.9997123295552615
M3@0.3 & M3@0.5,2,M,17346,0.18580288569684117,0.9923901764095469
R3@0.3 & S5@0.3,2,RS,16831,0.18028642737020256,0.9973263620699899
R3@0.3 & S5@0.3 & S5@0.5,3,RS,16826,0.1802328695223711,0.9973849994056817
R3@0.3 & S5@0.3 & S5@0.5 & S5@0.7,4,RS,16731,0.1792152704135737,0.9974896897973821
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5,5,FM,16593,0.17773707381342588,0.995600554450672
F1@0.3 & F1@0.5 & F1@0.7 & R3@0.3 & S5@0.3 & S5@0.5,6,FRS,16299,0.17458787236093704,0.999018344683723
F1@0.3 & F1@0.5 & F1@0.7 & R3@0.3 & S5@0.3 & S5@0.5 & S5@0.7,7,FRS,16296,0.17455573765223817,0.9990181639666176
R5@0.3 & R5@0.5 & S5@0.3,3,RS,16183,0.17334533029124757,0.9989495149230674
R5@0.3 & R5@0.5 & S5@0.3 & S5@0.5,4,RS,16176,0.17327034930428356,0.9989490603363007
R5@0.3 & R5@0.5 & S5@0.3 & S5@0.5 & S5@0.7,5,RS,16055,0.17197424938676265,0.9989411398318281
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3 & R5@0.5 & S5@0.3 & S5@0.5,7,FRS,15617,0.16728258191672826,0.9996798360760709
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3 & R5@0.5 & S5@0.3 & S5@0.5 & S5@0.7,8,FRS,15616,0.16727187034716198,0.9996798155737705
R4@0.3 & R4@0.5 & R4@0.7,3,R,15298,0.1638655912250822,0.9955549745064715
M2@0.3 & M2@0.5 & M2@0.7,3,M,15023,0.16091990959435287,0.9962058177461226
M2@0.3 & M2@0.5 & S5@0.3,3,MS,14909,0.15969879066379597,0.998591454825944
M2@0.3 & M2@0.5 & S5@0.3 & S5@0.5,4,MS,14908,0.1596880790942297,0.9985913603434398
M2@0.3 & M2@0.5 & S5@0.3 & S5@0.5 & S5@0.7,5,MS,14851,0.15907751962895122,0.9986532893407851
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3 & R4@0.5 & R4@0.7,6,FR,14788,0.15840269074627505,0.998241817690019
M1@0.3 & R4@0.3,2,MR,14739,0.1578778238375269,0.9968790284279802
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & M2@0.7,6,FM,14699,0.15744936105487536,0.9982992040274848
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R4@0.3,5,FMR,14662,0.15705303298092269,0.9979538944209522
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & S5@0.3 & S5@0.5 & S5@0.7,8,FMS,14579,0.15616397270692076,0.9993140818986213
M4@0.3,1,M,14287,0.1530361943935645,0.98761111499965
R2@0.3 & R2@0.5,2,R,14122,0.15126878541512687,0.9929188500212435
M3@0.3 & S5@0.3,2,MS,14082,0.15084032263247535,0.9972305070302514
R3@0.3 & R3@0.5 & R3@0.7,3,R,14077,0.1507867647846439,0.9956666903459543
M3@0.3 & S5@0.3 & S5@0.5,3,MS,14076,0.15077605321507762,0.9973003694231316
R4@0.3 & R4@0.5 & S5@0.3,3,RS,14034,0.15032616729329348,0.9988599116431524
R4@0.3 & R4@0.5 & S5@0.3 & S5@0.5,4,RS,14029,0.15027260944546203,0.9988595053104284
M3@0.3 & S5@0.3 & S5@0.5 & S5@0.7,4,MS,13968,0.14961920370191845,0.9972794959908362
R4@0.3 & R4@0.5 & S5@0.3 & S5@0.5 & S5@0.7,5,RS,13942,0.14934070289319493,0.998852388466504
F1@0.3 & F1@0.5 & F1@0.7 & R2@0.3 & R2@0.5,5,FR,13729,0.14705913857557548,0.9962123971155947
