model,fpc,partition_entropy,xie_beni,silhouette_hardened,davies_bouldin_hardened,n_hard_clusters
FCM matched k=30,0.4286915255355681,1.4507588838871806,0.02518701773573589,0.3161250111979323,0.8465567305109911,30
FCM natural k=5,0.7400805807212328,0.4817940936704869,0.21061039785673805,0.5240012867846316,0.6510916151589065,5
FCA-suppressed (hardened argmax),,,,-0.33707134167988106,8.28949012421998,10
